,id,name,team,points_line,points_l20Rate,points_l10Rate,points_l5Rate,points_vsOpp,points_vsOppGames,reb_line,reb_l20Rate,reb_l10Rate,reb_l5Rate,reb_vsOpp,reb_vsOppGames,ast_line,ast_l20Rate,ast_l10Rate,ast_l5Rate,ast_vsOpp,ast_vsOppGames,player_url,site,points_projection,rebounds_projection,assists_projection
30,583d7994-36f9-4a9a-b527-c18704406981,Lauri Markkanen,UTA,18.5,55.0,40.0,40.0,44.0,9.0,5.5,55.0,60.0,60.0,89.0,9.0,0.5,70.0,60.0,60.0,100.0,9.0,https://api.props.cash/nba/player-feed?playerId=583d7994-36f9-4a9a-b527-c18704406981&int=0,home,18.27,5.95,0.69
31,28a2e698-9f33-4d4d-9a5d-9bea66ee42a1,John Collins,UTA,17.5,60.0,60.0,60.0,13.0,8.0,7.5,55.0,60.0,60.0,50.0,8.0,1.5,60.0,40.0,40.0,38.0,8.0,https://api.props.cash/nba/player-feed?playerId=28a2e698-9f33-4d4d-9a5d-9bea66ee42a1&int=0,home,16.98,7.98,1.42
32,5e5099d1-4a58-43f2-8d03-f2ae5dd49337,Draymond Green,GSW,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=5e5099d1-4a58-43f2-8d03-f2ae5dd49337&int=0,away,8.27,5.03,4.83
33,e7373530-b566-4f36-b0de-0510b6d94e0e,Tari Eason,HOU,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=e7373530-b566-4f36-b0de-0510b6d94e0e&int=0,home,9.36,6.18,0.82
34,3a3207cc-269f-47ef-9b77-f852f0bed4b0,Quinten Post,GSW,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=3a3207cc-269f-47ef-9b77-f852f0bed4b0&int=0,away,7.03,3.48,0.89
35,599e6bbf-54a5-431b-b542-1817a0942369,Olivier-Maxence Prosper,DAL,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=599e6bbf-54a5-431b-b542-1817a0942369&int=0,home,6.87,2.89,2.11
36,72a6489b-ad35-4f06-8a4f-a68ea1052f7b,Dillon Brooks,HOU,13.5,40.0,70.0,80.0,35.0,17.0,3.5,40.0,30.0,20.0,53.0,17.0,1.5,50.0,40.0,60.0,59.0,17.0,https://api.props.cash/nba/player-feed?playerId=72a6489b-ad35-4f06-8a4f-a68ea1052f7b&int=0,home,14.58,4.06,1.95
37,b8b323c1-5691-43a4-9c48-707531803d6a,Amen Thompson,HOU,16.5,55.0,50.0,40.0,20.0,5.0,9.5,50.0,40.0,40.0,20.0,5.0,5.5,25.0,40.0,40.0,0.0,5.0,https://api.props.cash/nba/player-feed?playerId=b8b323c1-5691-43a4-9c48-707531803d6a&int=0,home,15.29,8.41,6.11
38,0e163d44-67a7-4107-9421-5333600166bb,Jimmy Butler,GSW,19.5,45.0,40.0,60.0,80.0,5.0,5.5,35.0,30.0,40.0,40.0,5.0,5.5,35.0,50.0,80.0,20.0,5.0,https://api.props.cash/nba/player-feed?playerId=0e163d44-67a7-4107-9421-5333600166bb&int=0,away,16.85,5.7,5.18
39,aeba1657-a0df-427b-ba9a-6db9e9147304,Cam Whitmore,HOU,12.5,30.0,20.0,20.0,50.0,2.0,4.5,35.0,30.0,20.0,0.0,2.0,1.5,25.0,20.0,20.0,0.0,2.0,https://api.props.cash/nba/player-feed?playerId=aeba1657-a0df-427b-ba9a-6db9e9147304&int=0,home,11.08,3.98,1.42
