player,o/u,stat,line,projection
Bam Adebayo,over,rebounds,10.5,9.99
Dillon Brooks,over,points,12.5,14.65
Jimmy Butler,under,points,20.5,14.97
Kel'el Ware,under,points,10.5,9.05
Klay Thompson,over,points,15.5,16.06
Kyrie Irving,over,assists,5.5,4.35
Olivier-Maxence Prosper,under,rebounds,7.5,
Quinten Post,over,points,9.5,7.2
Tari Eason,over,points,11.5,9.36
